ONSConstID,ConstituencyName,RegionID,RegionName,CountryID,CountryName,DateThisUpdate,DateOfDataset,Pop0-19ConstNum,Pop0-19ConstRate,Pop20-64ConstNum,Pop20-64ConstRate,Pop65ConstNum,Pop65ConstRate,PopTotalConstNum,Pop0-19RegNum,Pop0-19RegRate,Pop20-64RegNum,Pop20-64RegRate,Pop65RegNum,Pop65RegRate,PopTotalRegNum,Pop0-19UKNum,Pop0-19UKRate,Pop20-64UKNum,Pop20-64UKRate,Pop65UKNum,Pop65UKRate,PopTotalUKNum
E14000620,Carlisle,E15000002,North West,K02000001,UK,05/04/16,01/01/14,19021,0.220321314,50641,0.586577554,16671,0.193101132,86333,1689898,0.236912958,4162341,0.583533752,1280752,0.17955329,7132991,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000627,Cheadle,E15000002,North West,K02000001,UK,05/04/16,01/01/14,21316,0.231376252,50606,0.549306935,20205,0.219316813,92127,1689898,0.236912958,4162341,0.583533752,1280752,0.17955329,7132991,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000637,Chorley,E15000002,North West,K02000001,UK,05/04/16,01/01/14,22943,0.231322216,57820,0.582968684,18419,0.1857091,99182,1689898,0.236912958,4162341,0.583533752,1280752,0.17955329,7132991,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000640,City of Chester,E15000002,North West,K02000001,UK,05/04/16,01/01/14,20449,0.215042117,56480,0.593944875,18164,0.191013008,95093,1689898,0.236912958,4162341,0.583533752,1280752,0.17955329,7132991,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000646,Congleton,E15000002,North West,K02000001,UK,05/04/16,01/01/14,19728,0.21290051,51377,0.554449996,21558,0.232649493,92663,1689898,0.236912958,4162341,0.583533752,1280752,0.17955329,7132991,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000647,Copeland,E15000002,North West,K02000001,UK,05/04/16,01/01/14,16586,0.207506568,45939,0.574740398,17405,0.217753034,79930,1689898,0.236912958,4162341,0.583533752,1280752,0.17955329,7132991,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000653,Crewe and Nantwich,E15000002,North West,K02000001,UK,05/04/16,01/01/14,25797,0.237386239,62903,0.578838881,19971,0.18377488,108671,1689898,0.236912958,4162341,0.583533752,1280752,0.17955329,7132991,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000661,Denton and Reddish,E15000002,North West,K02000001,UK,05/04/16,01/01/14,20245,0.235237387,50674,0.588808069,15143,0.175954544,86062,1689898,0.236912958,4162341,0.583533752,1280752,0.17955329,7132991,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000686,Eddisbury,E15000002,North West,K02000001,UK,05/04/16,01/01/14,19514,0.226777766,47439,0.551302165,19096,0.221920069,86049,1689898,0.236912958,4162341,0.583533752,1280752,0.17955329,7132991,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000688,Ellesmere Port and Neston,E15000002,North West,K02000001,UK,05/04/16,01/01/14,19531,0.224105289,49876,0.572294064,17744,0.203600647,87151,1689898,0.236912958,4162341,0.583533752,1280752,0.17955329,7132991,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000706,Fylde,E15000002,North West,K02000001,UK,05/04/16,01/01/14,16712,0.20094267,45533,0.547482205,20923,0.251575125,83168,1689898,0.236912958,4162341,0.583533752,1280752,0.17955329,7132991,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000708,Garston and Halewood,E15000002,North West,K02000001,UK,05/04/16,01/01/14,22306,0.226523545,57888,0.58786851,18277,0.185607945,98471,1689898,0.236912958,4162341,0.583533752,1280752,0.17955329,7132991,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000725,Halton,E15000002,North West,K02000001,UK,05/04/16,01/01/14,23132,0.241169357,56258,0.586534051,16526,0.172296593,95916,1689898,0.236912958,4162341,0.583533752,1280752,0.17955329,7132991,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000738,Hazel Grove,E15000002,North West,K02000001,UK,05/04/16,01/01/14,17616,0.220671686,43593,0.546079745,18620,0.233248569,79829,1689898,0.236912958,4162341,0.583533752,1280752,0.17955329,7132991,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000747,Heywood and Middleton,E15000002,North West,K02000001,UK,05/04/16,01/01/14,25286,0.241497541,61210,0.584594814,18209,0.173907645,104705,1689898,0.236912958,4162341,0.583533752,1280752,0.17955329,7132991,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000758,Hyndburn,E15000002,North West,K02000001,UK,05/04/16,01/01/14,23536,0.256084955,52294,0.568988216,16077,0.174926828,91907,1689898,0.236912958,4162341,0.583533752,1280752,0.17955329,7132991,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000775,Knowsley,E15000002,North West,K02000001,UK,05/04/16,01/01/14,25739,0.247414257,61057,0.586905952,17236,0.165679791,104032,1689898,0.236912958,4162341,0.583533752,1280752,0.17955329,7132991,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000776,Lancaster and Fleetwood,E15000002,North West,K02000001,UK,05/04/16,01/01/14,19898,0.224856484,52466,0.592889753,16128,0.182253763,88492,1689898,0.236912958,4162341,0.583533752,1280752,0.17955329,7132991,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000785,Leigh,E15000002,North West,K02000001,UK,05/04/16,01/01/14,24315,0.23343894,61676,0.592127496,18169,0.174433564,104160,1689898,0.236912958,4162341,0.583533752,1280752,0.17955329,7132991,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000793,"Liverpool, Riverside",E15000002,North West,K02000001,UK,05/04/16,01/01/14,22692,0.189281395,84398,0.703991325,12795,0.10672728,119885,1689898,0.236912958,4162341,0.583533752,1280752,0.17955329,7132991,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000794,"Liverpool, Walton",E15000002,North West,K02000001,UK,05/04/16,01/01/14,21784,0.237376049,56077,0.611060259,13909,0.151563692,91770,1689898,0.236912958,4162341,0.583533752,1280752,0.17955329,7132991,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000795,"Liverpool, Wavertree",E15000002,North West,K02000001,UK,05/04/16,01/01/14,20871,0.225544653,58245,0.629430708,13420,0.145024639,92536,1689898,0.236912958,4162341,0.583533752,1280752,0.17955329,7132991,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000796,"Liverpool, West Derby",E15000002,North West,K02000001,UK,05/04/16,01/01/14,22181,0.244812591,54210,0.598317955,14213,0.156869454,90604,1689898,0.236912958,4162341,0.583533752,1280752,0.17955329,7132991,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000802,Macclesfield,E15000002,North West,K02000001,UK,05/04/16,01/01/14,19955,0.212612939,53051,0.565238237,20850,0.222148824,93856,1689898,0.236912958,4162341,0.583533752,1280752,0.17955329,7132991,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000805,Makerfield,E15000002,North West,K02000001,UK,05/04/16,01/01/14,23175,0.234341821,57158,0.577972374,18561,0.187685805,98894,1689898,0.236912958,4162341,0.583533752,1280752,0.17955329,7132991,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000807,Manchester Central,E15000002,North West,K02000001,UK,05/04/16,01/01/14,33816,0.236460642,98565,0.689222357,10628,0.074317001,143009,1689898,0.236912958,4162341,0.583533752,1280752,0.17955329,7132991,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000808,"Manchester, Gorton",E15000002,North West,K02000001,UK,05/04/16,01/01/14,32841,0.287614727,71949,0.630114552,9394,0.082270721,114184,1689898,0.236912958,4162341,0.583533752,1280752,0.17955329,7132991,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000809,"Manchester, Withington",E15000002,North West,K02000001,UK,05/04/16,01/01/14,20145,0.201538677,69789,0.698197207,10022,0.100264116,99956,1689898,0.236912958,4162341,0.583533752,1280752,0.17955329,7132991,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000825,Morecambe and Lunesdale,E15000002,North West,K02000001,UK,05/04/16,01/01/14,20282,0.227979857,48553,0.545760083,20129,0.22626006,88964,1689898,0.236912958,4162341,0.583533752,1280752,0.17955329,7132991,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000870,Oldham East and Saddleworth,E15000002,North West,K02000001,UK,05/04/16,01/01/14,28255,0.272773787,58723,0.566911878,16606,0.160314334,103584,1689898,0.236912958,4162341,0.583533752,1280752,0.17955329,7132991,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000871,Oldham West and Royton,E15000002,North West,K02000001,UK,05/04/16,01/01/14,30212,0.289447968,58753,0.562886815,15413,0.147665217,104378,1689898,0.236912958,4162341,0.583533752,1280752,0.17955329,7132991,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000875,Pendle,E15000002,North West,K02000001,UK,05/04/16,01/01/14,22706,0.252738201,51287,0.570870436,15847,0.176391362,89840,1689898,0.236912958,4162341,0.583533752,1280752,0.17955329,7132991,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000877,Penrith and The Border,E15000002,North West,K02000001,UK,05/04/16,01/01/14,16636,0.202751947,45618,0.555971286,19797,0.241276767,82051,1689898,0.236912958,4162341,0.583533752,1280752,0.17955329,7132991,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000885,Preston,E15000002,North West,K02000001,UK,05/04/16,01/01/14,24886,0.261492713,59179,0.621830638,11104,0.116676649,95169,1689898,0.236912958,4162341,0.583533752,1280752,0.17955329,7132991,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000894,Ribble Valley,E15000002,North West,K02000001,UK,05/04/16,01/01/14,21886,0.224223424,55020,0.563683305,20702,0.212093271,97608,1689898,0.236912958,4162341,0.583533752,1280752,0.17955329,7132991,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000897,Rochdale,E15000002,North West,K02000001,UK,05/04/16,01/01/14,30619,0.282836214,62106,0.573690385,15532,0.143473401,108257,1689898,0.236912958,4162341,0.583533752,1280752,0.17955329,7132991,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000902,Rossendale and Darwen,E15000002,North West,K02000001,UK,05/04/16,01/01/14,23276,0.239494588,57439,0.591009178,16473,0.169496234,97188,1689898,0.236912958,4162341,0.583533752,1280752,0.17955329,7132991,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000911,Salford and Eccles,E15000002,North West,K02000001,UK,05/04/16,01/01/14,23781,0.209912614,74145,0.654470827,15364,0.135616559,113290,1689898,0.236912958,4162341,0.583533752,1280752,0.17955329,7132991,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000916,Sefton Central,E15000002,North West,K02000001,UK,05/04/16,01/01/14,16582,0.197013081,45452,0.540021624,22133,0.262965295,84167,1689898,0.236912958,4162341,0.583533752,1280752,0.17955329,7132991,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000943,South Ribble,E15000002,North West,K02000001,UK,05/04/16,01/01/14,21453,0.219584843,55875,0.571915495,20370,0.208499662,97698,1689898,0.236912958,4162341,0.583533752,1280752,0.17955329,7132991,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000958,Southport,E15000002,North West,K02000001,UK,05/04/16,01/01/14,19217,0.210745071,49434,0.542122694,22535,0.247132235,91186,1689898,0.236912958,4162341,0.583533752,1280752,0.17955329,7132991,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
